No.,Time,Source,Destination,Protocol,Length,Info,,,,,,,,,,Time 2,Time 1,,Delay,,Delay 2,Delay 1,Jitter
1,0,zte_8d:64:2e,Broadcast,ARP,42,Who has 192.168.1.5? Tell 192.168.1.1,,,,,,,,,,1.000004,0,,1.000004,,0.651766,1.000004,-0.348238
2,1.000004,zte_8d:64:2e,Broadcast,ARP,42,Who has 192.168.1.5? Tell 192.168.1.1,,,,,,,,,,1.65177,1.000004,,0.651766,,0.018093,0.651766,-0.633673
3,1.65177,192.168.1.6,69.171.250.60,TLSv1.2,85,Application Data,,,,,,,,,,1.669863,1.65177,,0.018093,,0.175996,0.018093,0.157903
4,1.669863,69.171.250.60,192.168.1.6,TCP,56,443  >  53136 [ACK] Seq=1 Ack=32 Win=335 Len=0,,,,,,,,,,1.845859,1.669863,,0.175996,,0.039598,0.175996,-0.136398
5,1.845859,69.171.250.60,192.168.1.6,TLSv1.2,92,Application Data,,,,,,,,,,1.885457,1.845859,,0.039598,,0.189075,0.039598,0.149477
6,1.885457,192.168.1.6,69.171.250.60,TCP,54,53136  >  443 [ACK] Seq=32 Ack=39 Win=511 Len=0,,,,,,,,,,2.074532,1.885457,,0.189075,,0.063887,0.189075,-0.125188
7,2.074532,zte_8d:64:2e,Broadcast,ARP,42,Who has 192.168.1.5? Tell 192.168.1.1,,,,,,,,,,2.138419,2.074532,,0.063887,,0.000662,0.063887,-0.063225
8,2.138419,fe80::3dfb:9bbe:e62a:b882,fe80::1,ICMPv6,86,Neighbor Solicitation for fe80::1 from f8:a2:d6:13:78:4e,,,,,,,,,,2.139081,2.138419,,0.000662,,0.839534,0.000662,0.838872
9,2.139081,fe80::1,fe80::3dfb:9bbe:e62a:b882,ICMPv6,78,"Neighbor Advertisement fe80::1 (rtr, sol)",,,,,,,,,,2.978615,2.139081,,0.839534,,0.020626,0.839534,-0.818908
10,2.978615,192.168.1.6,151.101.8.133,TCP,55,53143  >  443 [ACK] Seq=1 Ack=1 Win=516 Len=1 [TCP segment of a reassembled PDU],,,,,,,,,,2.999241,2.978615,,0.020626,,0.099658,0.020626,0.079032
11,2.999241,151.101.8.133,192.168.1.6,TCP,66,443  >  53143 [ACK] Seq=1 Ack=2 Win=64 Len=0 SLE=1 SRE=2,,,,,,,,,,3.098899,2.999241,,0.099658,,0.922399,0.099658,0.822741
12,3.098899,zte_8d:64:2e,Broadcast,ARP,42,Who has 192.168.1.5? Tell 192.168.1.1,,,,,,,,,,4.021298,3.098899,,0.922399,,0.118652,0.922399,-0.803747
13,4.021298,zte_8d:64:2e,Broadcast,ARP,42,Who has 192.168.1.5? Tell 192.168.1.1,,,,,,,,,,4.13995,4.021298,,0.118652,,0.011961,0.118652,-0.106691
14,4.13995,192.168.1.6,52.74.223.119,TCP,55,53179  >  443 [ACK] Seq=1 Ack=1 Win=516 Len=1 [TCP segment of a reassembled PDU],,,,,,,,,,4.151911,4.13995,,0.011961,,0.009126,0.011961,-0.002835
15,4.151911,192.168.1.6,13.250.168.23,TCP,55,53181  >  443 [ACK] Seq=1 Ack=1 Win=511 Len=1 [TCP segment of a reassembled PDU],,,,,,,,,,4.161037,4.151911,,0.009126,,0.012219,0.009126,0.003093
16,4.161037,52.74.223.119,192.168.1.6,TCP,66,443  >  53179 [ACK] Seq=1 Ack=2 Win=77 Len=0 SLE=1 SRE=2,,,,,,,,,,4.173256,4.161037,,0.012219,,0.39674,0.012219,0.384521
17,4.173256,13.250.168.23,192.168.1.6,TCP,66,443  >  53181 [ACK] Seq=1 Ack=2 Win=67 Len=0 SLE=1 SRE=2,,,,,,,,,,4.569996,4.173256,,0.39674,,0.017919,0.39674,-0.378821
18,4.569996,192.168.1.6,151.101.8.133,TCP,55,53156  >  443 [ACK] Seq=1 Ack=1 Win=516 Len=1 [TCP segment of a reassembled PDU],,,,,,,,,,4.587915,4.569996,,0.017919,,0.012216,0.017919,-0.005703
19,4.587915,151.101.8.133,192.168.1.6,TCP,66,443  >  53156 [ACK] Seq=1 Ack=2 Win=64 Len=0 SLE=1 SRE=2,,,,,,,,,,4.600131,4.587915,,0.012216,,0.022953,0.012216,0.010737
20,4.600131,192.168.1.6,52.74.223.119,TCP,55,53180  >  443 [ACK] Seq=1 Ack=1 Win=516 Len=1 [TCP segment of a reassembled PDU],,,,,,,,,,4.623084,4.600131,,0.022953,,0.124119,0.022953,0.101166
21,4.623084,52.74.223.119,192.168.1.6,TCP,66,443  >  53180 [ACK] Seq=1 Ack=2 Win=75 Len=0 SLE=1 SRE=2,,,,,,,,,,4.747203,4.623084,,0.124119,,0.24115,0.124119,0.117031
22,4.747203,192.168.1.6,54.174.34.153,TCP,55,53183  >  443 [ACK] Seq=1 Ack=1 Win=515 Len=1 [TCP segment of a reassembled PDU],,,,,,,,,,4.988353,4.747203,,0.24115,,1.005849,0.24115,0.764699
23,4.988353,54.174.34.153,192.168.1.6,TCP,66,443  >  53183 [ACK] Seq=1 Ack=2 Win=110 Len=0 SLE=1 SRE=2,,,,,,,,,,5.994202,4.988353,,1.005849,,0.261463,1.005849,-0.744386
24,5.994202,192.168.1.6,54.174.34.153,TCP,55,53182  >  443 [ACK] Seq=1 Ack=1 Win=513 Len=1 [TCP segment of a reassembled PDU],,,,,,,,,,6.255665,5.994202,,0.261463,,2.283362,0.261463,2.021899
25,6.255665,54.174.34.153,192.168.1.6,TCP,66,443  >  53182 [ACK] Seq=1 Ack=2 Win=138 Len=0 SLE=1 SRE=2,,,,,,,,,,8.539027,6.255665,,2.283362,,0.492186,2.283362,-1.791176
26,8.539027,zte_8d:64:2e,Broadcast,ARP,42,Who has 192.168.1.5? Tell 192.168.1.1,,,,,,,,,,9.031213,8.539027,,0.492186,,0.518624,0.492186,0.026438
27,9.031213,192.168.1.6,239.255.255.250,SSDP,179,M-SEARCH * HTTP/1.1 ,,,,,,,,,,9.549837,9.031213,,0.518624,,1.023931,0.518624,0.505307
28,9.549837,zte_8d:64:2e,Broadcast,ARP,42,Who has 192.168.1.5? Tell 192.168.1.1,,,,,,,,,,10.573768,9.549837,,1.023931,,1.458382,1.023931,0.434451
29,10.573768,zte_8d:64:2e,Broadcast,ARP,42,Who has 192.168.1.5? Tell 192.168.1.1,,,,,,,,,,12.03215,10.573768,,1.458382,,0.712356,1.458382,-0.746026
30,12.03215,192.168.1.6,239.255.255.250,SSDP,179,M-SEARCH * HTTP/1.1 ,,,,,,,,,,12.744506,12.03215,,0.712356,,0.005195,0.712356,-0.707161
31,12.744506,192.168.1.6,118.98.109.76,UDP,818,56588  >  443 Len=776,,,,,,,,,,12.749701,12.744506,,0.005195,,0,0.005195,-0.005195
32,12.749701,118.98.109.76,192.168.1.6,UDP,68,443  >  56588 Len=26,,,,,,,,,,12.749701,12.749701,,0,,0,0,0
33,12.749701,118.98.109.76,192.168.1.6,UDP,1392,443  >  56588 Len=1350,,,,,,,,,,12.749701,12.749701,,0,,,,
34,12.749701,118.98.109.76,192.168.1.6,UDP,1392,443  >  56588 Len=1350,,,,,,,,,,,,,,,,,
